locale,key,lineno,text
ja,REPORT_SUCCEEDED_NOTE,1.0,%3z\u30ec\u30dd\u30fc\u30c8\u5b9f\u884c\u306f\u6b63\u5e38\u306b\u7d42\u4e86\u3057\u307e\u3057\u305f\u3002\u51fa\u529b\u306b\u3064\u3044\u3066\u306f\u3001%#1s \u3092\u53c2\u7167\u3057\u3066\u304f\u3060\u3055\u3044\u3002
ja,RESOLVED_VAR_NOTE,1.0,%3z%#1s= \u306f\u6b21\u306b\u89e3\u6c7a\u3055\u308c\u307e\u3057\u305f: %#2s
ja,RETURN_CODE_ERROR,1.0,%1z\u30a2\u30af\u30b7\u30e7\u30f3\u306f\u5931\u6557\u3057\u307e\u3057\u305f\u3002\u30a8\u30e9\u30fc\u30b3\u30fc\u30c9 %#1s
ja,SESSION_CLOSED_NOTE,1.0,%3zmiddle tier %#1s \u306e\u30a2\u30af\u30c6\u30a3\u30d6\u306a\u30bb\u30c3\u30b7\u30e7\u30f3\u304c\u6b63\u5e38\u306b\u9589\u3058\u3089\u308c\u307e\u3057\u305f\u3002
ja,SESSION_NOT_CLOSED_ERROR,1.0,%1zmiddle tier %#1s \u306e\u30a2\u30af\u30c6\u30a3\u30d6\u306a\u30bb\u30c3\u30b7\u30e7\u30f3\u3092\u9589\u3058\u3088\u3046\u3068\u3057\u307e\u3057\u305f\u304c\u3001\u5931\u6557\u3057\u307e\u3057\u305f\u3002\u3053\u306e\u30bb\u30c3\u30b7\u30e7\u30f3\u304c\u5b58\u5728\u3057\u305f\u5834\u5408\u3001\u524a\u9664\u3055\u308c\u3066\u3044\u307e\u3059\u3002
ja,SESSION_NOT_OPENED_ERROR,1.0,%1zmiddle tier %#1s \u306b\u30bb\u30c3\u30b7\u30e7\u30f3\u3092\u4f5c\u6210\u3057\u3088\u3046\u3068\u3057\u307e\u3057\u305f\u304c\u3001\u5931\u6557\u3057\u307e\u3057\u305f\u3002\u30bb\u30c3\u30b7\u30e7\u30f3\u304c\u90e8\u5206\u7684\u306b\u4f5c\u6210\u3055\u308c\u305f\u5834\u5408\u3001\u524a\u9664\u3055\u308c\u3066\u3044\u307e\u3059\u3002
ja,SESSION_OPENED_LOCAL_NOTE,1.0,%3z\u30bb\u30c3\u30b7\u30e7\u30f3\u304c\u57cb\u3081\u8fbc\u307f middle tier %#1s \u306b\u4f5c\u6210\u3055\u308c\u307e\u3057\u305f\u3002
ja,SESSION_OPENED_REMOTE_NOTE,1.0,%3z\u30bb\u30c3\u30b7\u30e7\u30f3\u304c\u30ea\u30e2\u30fc\u30c8 middle tier %#1s \u306b\u4f5c\u6210\u3055\u308c\u307e\u3057\u305f\u3002
ja,STOPPING_MACRO_NOTE,1.0,%3z\u30a8\u30e9\u30fc\u306e\u305f\u3081 %#1s \u3092\u505c\u6b62\u3057\u3066\u3044\u307e\u3059\u3002
ja,TEMP_ARCHIVE_WARNING,1.0,%2z\u4e00\u6642\u30a2\u30fc\u30ab\u30a4\u30d6\u30d5\u30a1\u30a4\u30eb %#1s \u306e\u524a\u9664\u306b\u5931\u6557\u3057\u307e\u3057\u305f\u3002
